aspect,description,sentiment,Sentiment
mode,artistic,0.3333333333333333,Positive
story,different,0.0,Neutral
design,great,0.8,Positive
change,much present,0.0,Neutral
story,original,0.375,Positive
story,very last,0.0,Neutral
shepard,own,0.6,Positive
government,mexican,0.0,Neutral
people,other,-0.125,Negative
gun,good,0.7,Positive
thing,minimal,-0.1,Negative
anguish,mental,-0.1,Negative
beginning,last,0.0,Neutral
game,main,0.16666666666666666,Positive
lot,miss,0.0,Neutral
game,else,0.0,Neutral
game,fun,0.3,Positive
player,awesome,1.0,Positive
kill,crash,0.0,Neutral
game,fun,0.3,Positive
game,terrible,-1.0,Negative
title,low,0.0,Neutral
game,that hard,-0.2916666666666667,Negative
point,so many,0.5,Positive
rifle,counter,0.0,Neutral
game,astonishing,0.5,Positive
story,smooth,0.4,Positive
mode,so fun,0.3,Positive
majority,new,0.13636363636363635,Positive
play,perfect,1.0,Positive
price,more,0.5,Positive
game,enjoyable,0.5,Positive
camping,high,0.16,Positive
map,whole,0.2,Positive
game,bust,0.0,Neutral
mode,clunky,0.0,Neutral
driver,low,0.0,Neutral
game,total,0.0,Neutral
intent,whole,0.2,Positive
reason,old,0.1,Positive
game,bad,-0.6999999999999998,Negative
studio,atrocious,-0.7,Negative
thing,most excited,0.4375,Positive
map,eth,0.0,Neutral
design,very confusing,-0.39,Negative
game,half,-0.16666666666666666,Negative
game,equivalent,0.0,Neutral
gold,easy,0.43333333333333335,Positive
game,potential,0.0,Neutral
game,good,0.7,Positive
heading,first,0.25,Positive
pacing,tolerable,0.0,Neutral
game,random,-0.5,Negative
play,very good,0.9099999999999999,Positive
cod,last,0.0,Neutral
dawn,too big,0.0,Neutral
boot,most,0.5,Positive
moon,open,0.0,Neutral
mother,weak,-0.375,Negative
call,bad,-0.6999999999999998,Negative
vision,gluttonous,0.0,Neutral
fix,great,0.8,Positive
game,petty,0.0,Neutral
game,old,0.1,Positive
warfare,minor,-0.05,Negative
feature,high,0.16,Positive
game,secondary,-0.3,Negative
game,most,0.5,Positive
business,total,0.0,Neutral
cod,new,0.13636363636363635,Positive
rate,average,-0.15,Negative
laggy,more,0.5,Positive
product,available,0.4,Positive
play,happy,0.8,Positive
game,micro,0.0,Neutral
game,fun,0.3,Positive
steam,stuck,0.0,Neutral
deus,good,0.7,Positive
game,pretty fun,0.275,Positive
price,solid,0.0,Neutral
gun,most,0.5,Positive
campaign,amazing,0.6000000000000001,Positive
issue,awful,-1.0,Negative
tuning,far other,-0.012499999999999997,Negative
game,least,-0.3,Negative
menus,poor,-0.4,Negative
pc,short,0.0,Neutral
mechanic,repetitive,-0.25,Negative
setting,objective,0.0,Neutral
mission,repetitive,-0.25,Negative
difference,bad,-0.6999999999999998,Negative
play,old,0.1,Positive
streak,even worth,0.3,Positive
issue,kinda annoying,-0.8,Negative
org,too much,0.2,Positive
share,weird,-0.5,Negative
bland,fine,0.4166666666666667,Positive
gamer,random,-0.5,Negative
map,fucking,-0.6,Negative
crash,few,-0.2,Negative
mistake,little,-0.1875,Negative
game,good,0.7,Positive
game,unfinished,0.0,Neutral
internet,much,0.2,Positive
levelling,modern,0.2,Positive
skips,cheap,0.4,Positive
multiplayer,more,0.5,Positive
game,new,0.13636363636363635,Positive
crash,annoying,-0.8,Negative
developer,good,0.7,Positive
pc,only,0.0,Neutral
crash,random,-0.5,Negative
issue,so hard,-0.2916666666666667,Negative
multiplayer,good,0.7,Positive
majority,so good,0.7,Positive
arcade,tactical,0.0,Neutral
movement,very reliant,0.2,Positive
game,other,-0.125,Negative
multiplayer,old,0.1,Positive
company,other,-0.125,Negative
game,more,0.5,Positive
cheating,horrendous,0.0,Neutral
system,really smooth,0.4,Positive
game,much high,0.16,Positive
problem,resolve,0.0,Neutral
launch,tough,-0.3888888888888889,Negative
war,decent,0.16666666666666666,Positive
cod,new,0.13636363636363635,Positive
player,bad,-0.6999999999999998,Negative
gun,same,0.0,Neutral
game,very fun,0.39,Positive
mode,desperate,-0.6,Negative
balance,entire,0.0,Neutral
campaign,actually good,0.7,Positive
ward,good,0.7,Positive
customization,amazing,0.6000000000000001,Positive
weapon,most important,0.45,Positive
map,mid,0.0,Neutral
map,bad,-0.6999999999999998,Negative
movement,mixed,0.0,Neutral
lot,aware,0.25,Positive
lot,different,0.0,Neutral
issue,glaring,0.0,Neutral
thing,bad,-0.6999999999999998,Negative
system,mental,-0.1,Negative
game,sad,-0.5,Negative
game,ryan,0.0,Neutral
game,fun,0.3,Positive
friend,fun,0.3,Positive
skin,select,0.0,Neutral
campaign,several,0.0,Neutral
mission,flat,-0.025,Negative
unlock,utterly bust,0.0,Neutral
game,slow,-0.30000000000000004,Negative
time,exciting,0.3,Positive
complaint,wrong,-0.5,Negative
campaign,second,0.0,Neutral
thing,modern,0.2,Positive
file,fail,-0.5,Negative
act,late,-0.3,Negative
release,unable,-0.5,Negative
design,compliment,0.0,Neutral
game,inaccessible,0.0,Neutral
gunplay,fun,0.3,Positive
story,great,0.8,Positive
game,full,0.35,Positive
game,good,0.7,Positive
multiplayer,good,0.7,Positive
head,dense,0.0,Neutral
game,fun,0.3,Positive
game,worth,0.3,Positive
thing,unwarranted,0.0,Neutral
decision,mysteriously unbanned,0.0,Neutral
monitor,especially old,0.2,Positive
missus,addictive,0.0,Neutral
begrudge,good,0.7,Positive
price,first,0.25,Positive
ward,greedy,0.0,Neutral
computer,mid,0.0,Neutral
game,pretty good,0.475,Positive
gunplay,smooth,0.4,Positive
game,loud,0.1,Positive
game,least,-0.3,Negative
point,most,0.5,Positive
game,well,0.0,Neutral
multiplayer,still similar,0.0,Neutral
marker,clear,0.10000000000000002,Positive
plague,pretty good,0.475,Positive
part,constant,0.0,Neutral
game,full,0.35,Positive
campaign,very good,0.9099999999999999,Positive
a,nonexistent,0.0,Neutral
game,good,0.7,Positive
game,buggy,0.0,Neutral
shooter,other,-0.125,Negative
people,social,0.03333333333333333,Positive
issue,little,-0.1875,Negative
game,fun,0.3,Positive
int,worth,0.3,Positive
fan,old,0.1,Positive
body,fucking,-0.6,Negative
haven,single,-0.07142857142857142,Negative
play,excellent,1.0,Positive
pace,fresh,0.3,Positive
game,methodical,0.0,Neutral
corner,particular,0.16666666666666666,Positive
map,aggressive,0.0,Neutral
game,less,-0.16666666666666666,Negative
perk,late,-0.3,Negative
idea,unlock,0.0,Neutral
progression,good,0.7,Positive
design,pretty cool,0.3,Positive
campaign,pretty awesome,0.625,Positive
part,enough,0.0,Neutral
playtime,alone,0.0,Neutral
parent,ill,-0.5,Negative
play,unbeatable,0.0,Neutral
team,competent,0.5,Positive
music,lacklustre,0.0,Neutral
shield,directly counter,0.1,Positive
one,direct,0.1,Positive
gunsmith,fantastic,0.4,Positive
steam,last,0.0,Neutral
game,current,0.0,Neutral
mode,fun,0.3,Positive
invasion,large,0.21428571428571427,Positive
war,fun,0.3,Positive
half,inconsistent,0.0,Neutral
find,next,0.0,Neutral
game,great,0.8,Positive
game,well racist,0.0,Neutral
campaign,dumb,-0.375,Negative
game,good,0.7,Positive
fact,hard,-0.2916666666666667,Negative
game,pretty epic,0.175,Positive
work,triple,0.0,Neutral
campaign,relatively long,-0.05,Negative
game,iconic,0.5,Positive
game,hot,0.25,Positive
release,full,0.35,Positive
game,last,0.0,Neutral
system,shamble,0.0,Neutral
map,original,0.375,Positive
deus,other,-0.125,Negative
vision,sorry,-0.5,Negative
spawn,so broken,-0.4,Negative
waste,bad,-0.6999999999999998,Negative
lot,annoying,-0.8,Negative
amount,enjoyable,0.5,Positive
game,great,0.8,Positive
hotte,little,-0.1875,Negative
play,insane,-1.0,Negative
game,open,0.0,Neutral
review,negative,-0.3,Negative
playtime,negative,-0.3,Negative
company,many,0.5,Positive
progression,about as dumb,-0.375,Negative
game,dark,-0.15,Negative
kill,whole,0.2,Positive
game,just well ugly,-0.7,Negative
face,bad,-0.6999999999999998,Negative
grass,awful,-1.0,Negative
multiplayer,fine,0.4166666666666667,Positive
people,fun,0.3,Positive
game,much cheap,0.4,Positive
multiplayer,fun,0.3,Positive
campaign,short,0.0,Neutral
game,most,0.5,Positive
vision,funny,0.25,Positive
mode,slow,-0.30000000000000004,Negative
game,new,0.13636363636363635,Positive
game,that bad,-0.6999999999999998,Negative
game,great,0.8,Positive
release,old,0.1,Positive
game,bad,-0.6999999999999998,Negative
map,unbalanced,0.0,Neutral
campaign,only,0.0,Neutral
life,constant,0.0,Neutral
weapon,certain,0.21428571428571427,Positive
game,miserable,-1.0,Negative
crash,disconnect,0.0,Neutral
game,mental,-0.1,Negative
point,main,0.16666666666666666,Positive
program,external,0.0,Neutral
character,many,0.5,Positive
map,terrible,-1.0,Negative
thing,only,0.0,Neutral
multiplayer,other,-0.125,Negative
gunplay,second,0.0,Neutral
steam,great,0.8,Positive
favourite,cold,-0.6,Negative
developer,other,-0.125,Negative
terminator,great,0.8,Positive
issue,only,0.0,Neutral
kind,good,0.7,Positive
number,few,-0.2,Negative
battle,dark,-0.15,Negative
player,ridiculous,-0.3333333333333333,Negative
marker,snap,0.0,Neutral
shot,perfect,1.0,Positive
player,much low,0.0,Neutral
person,many,0.5,Positive
game,top,0.5,Positive
game,sorry,-0.5,Negative
play,last,0.0,Neutral
price,second,0.0,Neutral
campaign,top,0.5,Positive
hour,single,-0.07142857142857142,Negative
job,obscene,0.0,Neutral
game,uncomfortable,-0.5,Negative
game,complete,0.1,Positive
cat,next,0.0,Neutral
decision,justifiable,0.0,Neutral
consumer,beta,0.0,Neutral
consumer,many,0.5,Positive
developer,complete,0.1,Positive
consumer,happy,0.8,Positive
people,good,0.7,Positive
community,social,0.03333333333333333,Positive
tension,single,-0.07142857142857142,Negative
ward,good,0.7,Positive
campaign,more,0.5,Positive
option,stealth,0.0,Neutral
mission,long,-0.05,Negative
minute,too much,0.2,Positive
mission,interesting,0.5,Positive
cinematic,more,0.5,Positive
movement,much fast,0.2,Positive
corner,most random,0.0,Neutral
thing,terrible,-1.0,Negative
mechanic,modern,0.2,Positive
people,many,0.5,Positive
gun,equal,0.0,Neutral
game,even decent,0.16666666666666666,Positive
multiplayer,lousy,-0.5,Negative
map,decent,0.16666666666666666,Positive
handling,good,0.7,Positive
game,fine,0.4166666666666667,Positive
mode,shooter,0.0,Neutral
game,nice,0.6,Positive
game,previous,-0.16666666666666666,Negative
complaint,able,0.5,Positive
developer,bad,-0.6999999999999998,Negative
time,less,-0.16666666666666666,Negative
volume,whole,0.2,Positive
shotgun,ridiculous,-0.3333333333333333,Negative
map,dead,-0.2,Negative
crunch,real,0.2,Positive
fortune,most articulate,0.5,Positive
game,bad,-0.6999999999999998,Negative
weapon,just unnecessary,-0.4,Negative
game,positive,0.22727272727272727,Positive
propaganda,slow,-0.30000000000000004,Negative
mission,second,0.0,Neutral
halloween,stupid,-0.7999999999999999,Negative
story,good,0.7,Positive
downfall,real,0.2,Positive
developer,entire,0.0,Neutral
map,low,0.0,Neutral
game,very friendly,0.48750000000000004,Positive
cod,next,0.0,Neutral
stick,unavailable,0.0,Neutral
change,smooth,0.4,Positive
registration,temperamental,0.0,Neutral
grind,good,0.7,Positive
game,as high,0.16,Positive
multiplayer,great,0.8,Positive
developer,degenerate,0.0,Neutral
map,terrible,-1.0,Negative
type,free,0.4,Positive
game,very fun,0.39,Positive
mode,good,0.7,Positive
story,more,0.5,Positive
campaign,very good,0.9099999999999999,Positive
player,only,0.0,Neutral
word,other,-0.125,Negative
shield,straight,0.2,Positive
one,fun,0.3,Positive
story,mostly fun,0.3,Positive
game,really fun,0.3,Positive
one,few,-0.2,Negative
spawn,just horrendous,0.0,Neutral
system,great,0.8,Positive
game,well,0.0,Neutral
sniper,even bad,-0.6999999999999998,Negative
snowflake,same,0.0,Neutral
atm,lazy,-0.25,Negative
price,funny,0.25,Positive
issue,small,-0.25,Negative
beta,miss,0.0,Neutral
lock,modern,0.2,Positive
game,good,0.7,Positive
support,less,-0.16666666666666666,Negative
connection,same,0.0,Neutral
account,other,-0.125,Negative
team,very helpful,0.2,Positive
game,relatively complete,0.1,Positive
game,very solid,0.0,Neutral
making,pretty good,0.475,Positive
game,stable,0.0,Neutral
shake,interested,0.25,Positive
ban,tall,0.0,Neutral
game,worth,0.3,Positive
game,long,-0.05,Negative
game,real,0.2,Positive
pet,own,0.6,Positive
mission,boring,-1.0,Negative
person,fast,0.2,Positive
war,grand,0.5,Positive
game,old,0.1,Positive
stare,own,0.6,Positive
amount,annoying,-0.8,Negative
team,useless,-0.5,Negative
player,annoying,-0.8,Negative
helicopter,such,0.0,Neutral
registration,clear,0.10000000000000002,Positive
trick,so fun,0.3,Positive
play,amazing,0.6000000000000001,Positive
campaign,worth,0.3,Positive
ghost,british,0.0,Neutral
crash,good,0.7,Positive
sound,well balanced,0.0,Neutral
play,fair,0.7,Positive
series,shitty,0.0,Neutral
landing,tense,-0.3333333333333333,Negative
one,insanely fun,0.3,Positive
match,same,0.0,Neutral
people,annoying,-0.8,Negative
people,other,-0.125,Negative
game,so frustrating,-0.4,Negative
optimization,horrible,-1.0,Negative
game,good,0.7,Positive
campaign,awful,-1.0,Negative
mission,key,0.0,Neutral
sex,dumb,-0.375,Negative
map,least,-0.3,Negative
game,unplayable,-0.4,Negative
game,innocent,0.5,Positive
temps,high,0.16,Positive
game,good,0.7,Positive
multiplayer,last,0.0,Neutral
player,so broken,-0.4,Negative
heap,more enjoyable,0.5,Positive
issue,constant,0.0,Neutral
game,multiple,0.0,Neutral
spooler,soft,0.1,Positive
part,tactical,0.0,Neutral
game,old,0.1,Positive
game,good,0.7,Positive
game,very unfinished,0.2,Positive
game,multiple,0.0,Neutral
shooter,only,0.0,Neutral
piece,overpriced,0.0,Neutral
multiplayer,stressful,0.0,Neutral
people,good,0.7,Positive
challenge,annoying,-0.8,Negative
slide,too pricey,0.0,Neutral
game,least,-0.3,Negative
missile,new,0.13636363636363635,Positive
issue,average,-0.15,Negative
multiplayer,graphic,0.0,Neutral
battlefield,able,0.5,Positive
money,extra,0.0,Neutral
campaign,terrible,-1.0,Negative
deal,sure,0.5,Positive
map,dull,-0.2916666666666667,Negative
game,worth,0.3,Positive
game,good,0.7,Positive
game,stable,0.0,Neutral
game,stable,0.0,Neutral
game,full,0.35,Positive
game,many,0.5,Positive
game,even mad,-0.625,Negative
bullet,blank,0.0,Neutral
run,annoying,-0.8,Negative
model,hard,-0.2916666666666667,Negative
day,golden,0.3,Positive
call,robust,0.0,Neutral
gunplay,worthy,0.3333333333333333,Positive
cup,favourite,0.0,Neutral
one,interesting,0.5,Positive
customization,pretty cool,0.3,Positive
game,exciting,0.3,Positive
level,excited,0.375,Positive
game,more fair,0.6,Positive
game,many,0.5,Positive
system,next,0.0,Neutral
game,fat,0.0,Neutral
game,so much,0.2,Positive
game,legal,0.2,Positive
shoot,vastly different,0.0,Neutral
rifle,weak,-0.375,Negative
people,wrong,-0.5,Negative
game,bright,0.7000000000000001,Positive
solo,reverse,0.0,Neutral
map,3rd,0.0,Neutral
shot,more,0.5,Positive
assist,crazy,-0.6,Negative
game,mixed,0.0,Neutral
max,beautiful,0.85,Positive
sale,nice,0.6,Positive
game,technical,0.0,Neutral
fuck,hardcore,0.0,Neutral
cheat,anti,0.0,Neutral
tag,inappropriate,0.0,Neutral
coop,good,0.7,Positive
mission,entire,0.0,Neutral
file,fail,-0.5,Negative
file,fail,-0.5,Negative
game,first,0.25,Positive
play,really good,0.7,Positive
war,too much,0.2,Positive
handling,good,0.7,Positive
kid,unbalanced,0.0,Neutral
game,so many,0.5,Positive
fan,same,0.0,Neutral
male,own,0.6,Positive
levelling,frustrating,-0.4,Negative
map,future,0.0,Neutral
game,cool,0.35,Positive
loser,fun,0.3,Positive
game,much more,0.5,Positive
menu,straight,0.2,Positive
thing,other,-0.125,Negative
thing,pretty good,0.475,Positive
studio,triple,0.0,Neutral
span,second,0.0,Neutral
game,nice,0.6,Positive
people,good,0.7,Positive
system,unbearable,0.0,Neutral
game,comfortable,0.4,Positive
game,ready,0.2,Positive
guy,buggy,0.0,Neutral
game,more,0.5,Positive
game,serious,-0.3333333333333333,Negative
issue,widespread,0.0,Neutral
update,less stable,-0.16666666666666666,Negative
game,other,-0.125,Negative
mode,hardcore,0.0,Neutral
game,very nice,0.78,Positive
team,bad,-0.6999999999999998,Negative
skin,fresh,0.3,Positive
game,almost unplayable,-0.4,Negative
game,little,-0.1875,Negative
deus,free,0.4,Positive
people,same,0.0,Neutral
war,new,0.13636363636363635,Positive
deus,classic,0.16666666666666666,Positive
borderline,high,0.16,Positive
system,most broken,0.04999999999999999,Positive
game,great,0.8,Positive
standard,super low,0.16666666666666666,Positive
base,awful,-1.0,Negative
player,fun,0.3,Positive
multiplayer,other,-0.125,Negative
guy,very frustrating,-0.52,Negative
skill,next,0.0,Neutral
pc,def,0.0,Neutral
friend,same,0.0,Neutral
one,objective,0.0,Neutral
people,most,0.5,Positive
player,good,0.7,Positive
game,new,0.13636363636363635,Positive
marketing,standard,0.0,Neutral
game,more,0.5,Positive
witness,full,0.35,Positive
game,well,0.0,Neutral
campaign,racist,0.0,Neutral
crash,fest,0.0,Neutral
cod,pure,0.21428571428571427,Positive
server,too much,0.2,Positive
dude,that hard,-0.2916666666666667,Negative
game,very enjoyable,0.65,Positive
game,worth,0.3,Positive
game,well most,0.5,Positive
people,so hard,-0.2916666666666667,Negative
game,current,0.0,Neutral
game,so bad,-0.6999999999999998,Negative
voice,very amazing,0.7800000000000001,Positive
crash,too frequent,0.1,Positive
content,more,0.5,Positive
style,just tired,-0.4,Negative
map,good,0.7,Positive
weapon,unbalanced,0.0,Neutral
multiplayer,all fun,0.3,Positive
release,other,-0.125,Negative
play,minor,-0.05,Negative
mode,same,0.0,Neutral
people,big,0.0,Neutral
system,other,-0.125,Negative
aim,legal,0.2,Positive
game,least,-0.3,Negative
ban,mw2,0.0,Neutral
vision,crazy,-0.6,Negative
play,excellent,1.0,Positive
multiplayer,armoured,0.0,Neutral
crime,funny,0.25,Positive
game,recycled,0.0,Neutral
mission,classic,0.16666666666666666,Positive
design,fun,0.3,Positive
sniper,more satisfying,0.5,Positive
player,disconnect,0.0,Neutral
community,campy,0.0,Neutral
game,nice,0.6,Positive
map,fine,0.4166666666666667,Positive
issue,modern,0.2,Positive
setting,low,0.0,Neutral
game,good,0.7,Positive
opinion,low,0.0,Neutral
progression,cool,0.35,Positive
duty,dead,-0.2,Negative
game,big,0.0,Neutral
game,good,0.7,Positive
feature,horrendously optimise,0.0,Neutral
driver,random,-0.5,Negative
game,nice,0.6,Positive
