aspect,description,sentiment
war,truly epic,0.1
war,much,0.2
war,more,0.5
range,normal,0.15
team,ultimate,0.0
feature,hardcore,0.0
buy,current,0.0
pricing,bad,-0.6999999999999998
support,constant,0.0
pace,mostly fun,0.3
balance,otherwise equal,0.0
design,atrociously bad,-0.6999999999999998
lot,typical,-0.16666666666666666
driver,very annoying,-1.0
performance,ryan,0.0
lack,technical,0.0
exp,active,-0.13333333333333333
mechanic,old,0.1
mode,old,0.1
assist,other,-0.125
assist,broken,-0.4
game,graphic,0.0
product,sure,0.5
people,big,0.0
mechanic,stupid,-0.7999999999999999
stuff,so harassed,0.0
game,damn,-1.0
thought,only,0.0
day,current,0.0
game,own,0.6
fuel,good,0.7
rate,terrible,-1.0
people,willing,0.25
file,fail,-0.5
load,massive,0.0
bind,key,0.0
lack,such,0.0
weapon,dummy,0.0
attachment,single,-0.07142857142857142
optic,great,0.8
provide,very misleading,0.2
damage,other,-0.125
offender,bad,-0.6999999999999998
match,overly competitive,1.0
change,such,0.0
system,perk,0.0
play,sure,0.5
mode,artistic,0.3333333333333333
story,different,0.0
design,great,0.8
change,much present,0.0
story,original,0.375
story,very last,0.0
shepard,own,0.6
government,mexican,0.0
people,other,-0.125
gun,good,0.7
thing,minimal,-0.1
anguish,mental,-0.1
beginning,last,0.0
game,main,0.16666666666666666
lot,miss,-1.0
game,else,0.0
game,fun,0.3
player,awesome,1.0
kill,crash,-1.0
game,fun,0.3
game,terrible,-1.0
title,low,0.0
game,that hard,-0.2916666666666667
point,so many,0.5
rifle,counter,0.0
game,astonishing,0.5
story,smooth,0.4
mode,so fun,0.3
majority,new,0.13636363636363635
play,perfect,1.0
price,more,0.5
game,enjoyable,0.5
camping,high,0.16
map,whole,0.2
game,bust,-1.0
mode,clunky,-1.0
driver,low,0.0
game,total,0.0
intent,whole,0.2
reason,old,0.1
game,bad,-0.6999999999999998
studio,atrocious,-0.7
thing,most excited,0.4375
map,eth,0.0
design,very confusing,-0.39
game,half,-0.16666666666666666
game,equivalent,0.0
gold,easy,0.43333333333333335
game,potential,0.0
game,good,0.7
heading,first,0.25
pacing,tolerable,1.0
game,random,-0.5
play,very good,0.9099999999999999
cod,last,0.0
dawn,too big,0.0
boot,most,0.5
moon,open,0.0
mother,weak,-0.375
call,bad,-0.6999999999999998
vision,gluttonous,0.0
fix,great,0.8
game,petty,-1.0
game,old,0.1
warfare,minor,-0.05
feature,high,0.16
game,secondary,-0.3
game,most,0.5
business,total,0.0
cod,new,0.13636363636363635
rate,average,-0.15
laggy,more,0.5
product,available,0.4
play,happy,0.8
game,micro,0.0
game,fun,0.3
steam,stuck,-1.0
deus,good,0.7
game,pretty fun,0.275
price,solid,0.5
gun,most,0.5
campaign,amazing,0.6000000000000001
issue,awful,-1.0
tuning,far other,-0.012499999999999997
game,least,-0.3
menus,poor,-0.4
pc,short,0.0
mechanic,repetitive,-0.25
setting,objective,0.0
mission,repetitive,-0.25
difference,bad,-0.6999999999999998
play,old,0.1
streak,even worth,0.3
issue,kinda annoying,-0.8
org,too much,0.2
share,weird,-0.5
bland,fine,0.4166666666666667
gamer,random,-0.5
map,fucking,-0.6
crash,few,-0.2
mistake,little,-0.1875
game,good,0.7
game,unfinished,-1.0
internet,much,0.2
levelling,modern,0.2
skips,cheap,0.4
multiplayer,more,0.5
game,new,0.13636363636363635
crash,annoying,-0.8
developer,good,0.7
pc,only,0.0
crash,random,-0.5
issue,so hard,-0.2916666666666667
multiplayer,good,0.7
majority,so good,0.7
arcade,tactical,0.0
movement,very reliant,0.2
game,other,-0.125
multiplayer,old,0.1
company,other,-0.125
game,more,0.5
cheating,horrendous,-1.0
system,really smooth,0.4
game,much high,0.16
problem,resolve,0.0
launch,tough,-0.3888888888888889
war,decent,0.16666666666666666
cod,new,0.13636363636363635
player,bad,-0.6999999999999998
gun,same,0.0
game,very fun,0.39
mode,desperate,-0.6
balance,entire,0.0
campaign,actually good,0.7
ward,good,0.7
customization,amazing,0.6000000000000001
weapon,most important,0.45
map,mid,0.0
map,bad,-0.6999999999999998
movement,mixed,0.0
lot,aware,0.25
lot,different,0.0
issue,glaring,0.0
thing,bad,-0.6999999999999998
system,mental,-0.1
game,sad,-0.5
game,ryan,0.0
game,fun,0.3
friend,fun,0.3
skin,select,0.0
campaign,several,0.0
mission,flat,-0.025
unlock,utterly bust,-1.0
game,slow,-0.30000000000000004
time,exciting,0.3
complaint,wrong,-0.5
campaign,second,0.0
thing,modern,0.2
file,fail,-0.5
act,late,-0.3
release,unable,-0.5
design,compliment,1.0
game,inaccessible,0.0
gunplay,fun,0.3
story,great,0.8
game,full,0.35
game,good,0.7
multiplayer,good,0.7
head,dense,-1.0
game,fun,0.3
game,worth,0.3
thing,unwarranted,-1.0
decision,mysteriously unbanned,0.0
monitor,especially old,0.2
missus,addictive,0.0
begrudge,good,0.7
price,first,0.25
ward,greedy,-1.0
computer,mid,0.0
game,pretty good,0.475
gunplay,smooth,0.4
game,loud,0.1
game,least,-0.3
point,most,0.5
game,well,1.0
multiplayer,still similar,0.0
marker,clear,0.10000000000000002
plague,pretty good,0.475
part,constant,0.0
game,full,0.35
campaign,very good,0.9099999999999999
a,nonexistent,-1.0
game,good,0.7
game,buggy,-1.0
shooter,other,-0.125
people,social,0.03333333333333333
issue,little,-0.1875
game,fun,0.3
int,worth,0.3
fan,old,0.1
body,fucking,-0.6
haven,single,-0.07142857142857142
play,excellent,1.0
pace,fresh,0.3
game,methodical,0.0
corner,particular,0.16666666666666666
map,aggressive,-1.0
game,less,-0.16666666666666666
perk,late,-0.3
idea,unlock,0.0
progression,good,0.7
design,pretty cool,0.3
campaign,pretty awesome,0.625
part,enough,0.5
playtime,alone,0.0
parent,ill,-0.5
play,unbeatable,1.0
team,competent,0.5
music,lacklustre,0.0
shield,directly counter,0.1
one,direct,0.1
gunsmith,fantastic,0.4
steam,last,0.0
game,current,0.0
mode,fun,0.3
invasion,large,0.21428571428571427
war,fun,0.3
half,inconsistent,-1.0
find,next,0.0
game,great,0.8
game,well racist,0.0
campaign,dumb,-0.375
game,good,0.7
fact,hard,-0.2916666666666667
game,pretty epic,0.175
work,triple,0.0
campaign,relatively long,-0.05
game,iconic,0.5
game,hot,0.25
release,full,0.35
game,last,0.0
system,shamble,0.0
map,original,0.375
deus,other,-0.125
vision,sorry,-0.5
spawn,so broken,-0.4
waste,bad,-0.6999999999999998
lot,annoying,-0.8
amount,enjoyable,0.5
game,great,0.8
hotte,little,-0.1875
play,insane,-1.0
game,open,0.0
review,negative,-0.3
playtime,negative,-0.3
company,many,0.5
progression,about as dumb,-0.375
game,dark,-0.15
kill,whole,0.2
game,just well ugly,0.15000000000000002
face,bad,-0.6999999999999998
grass,awful,-1.0
multiplayer,fine,0.4166666666666667
people,fun,0.3
game,much cheap,0.4
multiplayer,fun,0.3
campaign,short,0.0
game,most,0.5
vision,funny,0.25
mode,slow,-0.30000000000000004
game,new,0.13636363636363635
game,that bad,-0.6999999999999998
game,great,0.8
release,old,0.1
game,bad,-0.6999999999999998
map,unbalanced,0.0
campaign,only,0.0
life,constant,0.0
weapon,certain,0.21428571428571427
game,miserable,-1.0
crash,disconnect,0.0
game,mental,-0.1
point,main,0.16666666666666666
program,external,0.0
character,many,0.5
map,terrible,-1.0
thing,only,0.0
multiplayer,other,-0.125
gunplay,second,0.0
steam,great,0.8
favourite,cold,-0.6
developer,other,-0.125
terminator,great,0.8
issue,only,0.0
kind,good,0.7
number,few,-0.2
battle,dark,-0.15
player,ridiculous,-0.3333333333333333
marker,snap,0.0
shot,perfect,1.0
player,much low,0.0
person,many,0.5
game,top,0.5
game,sorry,-0.5
play,last,0.0
price,second,0.0
campaign,top,0.5
hour,single,-0.07142857142857142
job,obscene,-1.0
game,uncomfortable,-0.5
game,complete,0.1
cat,next,0.0
decision,justifiable,0.0
consumer,beta,0.0
consumer,many,0.5
developer,complete,0.1
consumer,happy,0.8
people,good,0.7
community,social,0.03333333333333333
tension,single,-0.07142857142857142
ward,good,0.7
campaign,more,0.5
option,stealth,0.0
mission,long,-0.05
minute,too much,0.2
mission,interesting,0.5
cinematic,more,0.5
movement,much fast,0.2
corner,most random,0.0
thing,terrible,-1.0
mechanic,modern,0.2
people,many,0.5
gun,equal,0.0
game,even decent,0.16666666666666666
multiplayer,lousy,-0.5
map,decent,0.16666666666666666
handling,good,0.7
game,fine,0.4166666666666667
mode,shooter,0.0
game,nice,0.6
game,previous,-0.16666666666666666
complaint,able,0.5
developer,bad,-0.6999999999999998
time,less,-0.16666666666666666
volume,whole,0.2
shotgun,ridiculous,-0.3333333333333333
map,dead,-0.2
crunch,real,0.2
fortune,most articulate,0.5
game,bad,-0.6999999999999998
weapon,just unnecessary,-0.4
game,positive,0.22727272727272727
propaganda,slow,-0.30000000000000004
mission,second,0.0
halloween,stupid,-0.7999999999999999
story,good,0.7
downfall,real,0.2
developer,entire,0.0
map,low,0.0
game,very friendly,0.48750000000000004
cod,next,0.0
stick,unavailable,-1.0
change,smooth,0.4
registration,temperamental,0.0
grind,good,0.7
game,as high,0.16
multiplayer,great,0.8
developer,degenerate,-1.0
map,terrible,-1.0
type,free,0.4
game,very fun,0.39
mode,good,0.7
story,more,0.5
campaign,very good,0.9099999999999999
player,only,0.0
word,other,-0.125
shield,straight,0.2
one,fun,0.3
story,mostly fun,0.3
game,really fun,0.3
one,few,-0.2
spawn,just horrendous,-1.0
system,great,0.8
game,well,1.0
sniper,even bad,-0.6999999999999998
snowflake,same,0.0
atm,lazy,-0.25
price,funny,0.25
issue,small,-0.25
beta,miss,-1.0
lock,modern,0.2
game,good,0.7
support,less,-0.16666666666666666
connection,same,0.0
account,other,-0.125
team,very helpful,1.0
game,relatively complete,0.1
game,very solid,0.65
making,pretty good,0.475
game,stable,1.0
shake,interested,0.25
ban,tall,0.0
game,worth,0.3
game,long,-0.05
game,real,0.2
pet,own,0.6
mission,boring,-1.0
person,fast,0.2
war,grand,0.5
game,old,0.1
stare,own,0.6
amount,annoying,-0.8
team,useless,-0.5
player,annoying,-0.8
helicopter,such,0.0
registration,clear,0.10000000000000002
trick,so fun,0.3
play,amazing,0.6000000000000001
campaign,worth,0.3
ghost,british,0.0
crash,good,0.7
sound,well balanced,1.0
play,fair,0.7
series,shitty,0.0
landing,tense,-0.3333333333333333
one,insanely fun,0.3
match,same,0.0
people,annoying,-0.8
people,other,-0.125
game,so frustrating,-0.4
optimization,horrible,-1.0
game,good,0.7
campaign,awful,-1.0
mission,key,0.0
sex,dumb,-0.375
map,least,-0.3
game,unplayable,-0.4
game,innocent,0.5
temps,high,0.16
game,good,0.7
multiplayer,last,0.0
player,so broken,-0.4
heap,more enjoyable,0.5
issue,constant,0.0
game,multiple,0.0
spooler,soft,0.1
part,tactical,0.0
game,old,0.1
game,good,0.7
game,very unfinished,-1.0
game,multiple,0.0
shooter,only,0.0
piece,overpriced,-1.0
multiplayer,stressful,-1.0
people,good,0.7
challenge,annoying,-0.8
slide,too pricey,-1.0
game,least,-0.3
missile,new,0.13636363636363635
issue,average,-0.15
multiplayer,graphic,0.0
battlefield,able,0.5
money,extra,0.0
campaign,terrible,-1.0
deal,sure,0.5
map,dull,-0.2916666666666667
game,worth,0.3
game,good,0.7
game,stable,1.0
game,stable,1.0
game,full,0.35
game,many,0.5
game,even mad,-0.625
bullet,blank,0.0
run,annoying,-0.8
model,hard,-0.2916666666666667
day,golden,0.3
call,robust,1.0
gunplay,worthy,0.3333333333333333
cup,favourite,0.0
one,interesting,0.5
customization,pretty cool,0.3
game,exciting,0.3
level,excited,0.375
game,more fair,0.6
game,many,0.5
system,next,0.0
game,fat,-1.0
game,so much,0.2
game,legal,0.2
shoot,vastly different,0.0
rifle,weak,-0.375
people,wrong,-0.5
game,bright,0.7000000000000001
solo,reverse,0.0
map,3rd,0.0
shot,more,0.5
assist,crazy,-0.6
game,mixed,0.0
max,beautiful,0.85
sale,nice,0.6
game,technical,0.0
fuck,hardcore,0.0
cheat,anti,0.0
tag,inappropriate,-1.0
coop,good,0.7
mission,entire,0.0
file,fail,-0.5
file,fail,-0.5
game,first,0.25
play,really good,0.7
war,too much,0.2
handling,good,0.7
kid,unbalanced,0.0
game,so many,0.5
fan,same,0.0
male,own,0.6
levelling,frustrating,-0.4
map,future,0.0
game,cool,0.35
loser,fun,0.3
game,much more,0.5
menu,straight,0.2
thing,other,-0.125
thing,pretty good,0.475
studio,triple,0.0
span,second,0.0
game,nice,0.6
people,good,0.7
system,unbearable,-1.0
game,comfortable,0.4
game,ready,0.2
guy,buggy,-1.0
game,more,0.5
game,serious,-0.3333333333333333
issue,widespread,0.0
update,less stable,0.4166666666666667
game,other,-0.125
mode,hardcore,0.0
game,very nice,0.78
team,bad,-0.6999999999999998
skin,fresh,0.3
game,almost unplayable,-0.4
game,little,-0.1875
deus,free,0.4
people,same,0.0
war,new,0.13636363636363635
deus,classic,0.16666666666666666
borderline,high,0.16
system,most broken,0.04999999999999999
game,great,0.8
standard,super low,0.16666666666666666
base,awful,-1.0
player,fun,0.3
multiplayer,other,-0.125
guy,very frustrating,-0.52
skill,next,0.0
pc,def,0.0
friend,same,0.0
one,objective,0.0
people,most,0.5
player,good,0.7
game,new,0.13636363636363635
marketing,standard,0.0
game,more,0.5
witness,full,0.35
game,well,1.0
campaign,racist,-1.0
crash,fest,0.0
cod,pure,0.21428571428571427
server,too much,0.2
dude,that hard,-0.2916666666666667
game,very enjoyable,0.65
game,worth,0.3
game,well most,0.75
people,so hard,-0.2916666666666667
game,current,0.0
game,so bad,-0.6999999999999998
voice,very amazing,0.7800000000000001
crash,too frequent,0.1
content,more,0.5
style,just tired,-0.4
map,good,0.7
weapon,unbalanced,0.0
multiplayer,all fun,0.3
release,other,-0.125
play,minor,-0.05
mode,same,0.0
people,big,0.0
system,other,-0.125
aim,legal,0.2
game,least,-0.3
ban,mw2,0.0
vision,crazy,-0.6
play,excellent,1.0
multiplayer,armoured,0.0
crime,funny,0.25
game,recycled,0.0
mission,classic,0.16666666666666666
design,fun,0.3
sniper,more satisfying,0.5
player,disconnect,0.0
community,campy,0.0
game,nice,0.6
map,fine,0.4166666666666667
issue,modern,0.2
setting,low,0.0
game,good,0.7
opinion,low,0.0
progression,cool,0.35
duty,dead,-0.2
game,big,0.0
game,good,0.7
feature,horrendously optimise,0.0
driver,random,-0.5
game,nice,0.6
issue,rampant,-1.0
game,full,0.35
game,possible,0.0
call,sure,0.5
map,horrible,-1.0
people,high,0.16
story,really funny,0.25
game,fun,0.3
silence,dead,-0.2
child,unspeakable,-1.0
play,fun,0.3
level,way slow,-0.30000000000000004
fight,pretty good,0.475
buck,hard,-0.2916666666666667
gun,enough,0.5
gun,enough strong,0.4666666666666667
game,other,-0.125
game,good,0.7
steam,single,-0.07142857142857142
campaign,good,0.7
multiplayer,terrible,-1.0
update,late,-0.3
campaign,same,0.0
game,quite ready,0.2
developer,pathetic,-1.0
game,polished,1.0
game,full,0.35
game,randomly,-0.5
load,simple,0.0
game,worth,0.3
game,disconnected,0.0
call,modern,0.2
time,many,0.5
game,early,0.1
weapon,horrible,-1.0
campaign,only,0.0
crash,more,0.5
game,great,0.8
multiplayer,great,0.8
cat,wooden,0.0
launch,double,0.0
player,more,0.5
play,revolutionary,1.0
game,great,0.8
game,really sad,-0.5
game,old,0.1
game,more,0.5
assist,only acceptable,0.0
game,bad,-0.6999999999999998
registration,bad,-0.6999999999999998
system,same,0.0
equipment,mentally challenge,-0.1
game,too many,0.5
game,pixel,0.0
game,altf4,0.0
campaign,amazing,0.6000000000000001
game,very happy,1.0
game,big,0.0
game,least,-0.3
thing,bad,-0.6999999999999998
bot,big,0.0
ass,hot,0.25
game,technical,0.0
system,so stupid,-0.7999999999999999
crash,prone,0.0
complaint,good,0.7
campaign,awesome,1.0
multiplayer,iffy,0.0
game,pretty good,0.475
campaign,old,0.1
map,really solid,0.5
game,pretty terrible,-0.375
reload,complete,0.1
animation,finish,0.0
action,entirely different,0.0
overlap,entirely impossible,-0.6666666666666666
amount,shocking,-1.0
mode,dumb,-0.375
half,just straight stupid,-0.29999999999999993
person,3rd,0.0
war,fun,0.3
people,full,0.35
game,very fun,0.39
pos,out,0.0
game,bad,-0.6999999999999998
fuck,aware,0.25
corporation,new,0.13636363636363635
bot,useless,-0.5
ban,overturn,-1.0
thing,same,0.0
theft,big,0.0
game,second,0.0
game,sexy,0.5
crash,many,0.5
weapon,break,-1.0
experience,free,0.4
lot,random,-0.5
party,terrible,-1.0
game,triple,0.0
system,many,0.5
war,new,0.13636363636363635
cod,still solid,0.5
game,soft,0.1
look,right,0.2857142857142857
game,fun,0.3
menu,mw2,0.0
step,more fun,0.4
bandit,bad,-0.6999999999999998
man,good,0.7
game,bad,-0.6999999999999998
game,other,-0.125
time,many,0.5
issue,pertain,0.0
people,most,0.5
ada,current,0.0
gun,fast,0.2
game,dependent,0.0
game,super,0.3333333333333333
money,disable,-1.0
community,multicultural,0.0
game,other,-0.125
interface,break,-1.0
patch,perfect,1.0
franchise,more,0.5
game,unfinished,-1.0
experience,first,0.25
pc,rex,0.0
spam,atrocious,-0.7
cod,annual,0.0
dog,clunky,-1.0
game,unbelievably bad,-0.6999999999999998
game,surprised,0.1
game,more,0.5
experience,miserable,-1.0
game,very fun,0.39
pixel,small,-0.25
beer,favourite,0.0
people,other,-0.125
fuck,modern,0.2
man,ready,0.2
game,good,0.7
multiplayer,very basic,0.0
mode,exciting,0.3
mode,sad,-0.5
cod,own,0.6
mode,safe,0.5
cod,old,0.1
game,mobile,0.0
review,negative,-0.3
game,wrong,-0.5
game,good,0.7
game,second,0.0
vida,hot,0.25
campaign,least,-0.3
person,old,0.1
gun,much,0.2
game,horrible,-1.0
game,available,0.4
game,bad,-0.6999999999999998
game,triple,0.0
cod,bad,-0.6999999999999998
matchmaking,overall,0.0
game,full,0.35
matchmaking,other,-0.125
weapon,completely disorganized,0.1
m16,lock,0.0
m4,single,-0.07142857142857142
map,more balanced,0.75
map,different,0.0
amount,unbelievable,-0.25
count,just high,0.16
death,least,-0.3
map,so many,0.5
step,loud,0.1
none,exciting,0.3
weapon,also lame,-0.5
name,simplistic,-0.5
amount,same,0.0
assist,right,0.2857142857142857
mode,just riddle,0.0
sniper,next,0.0
assist,little,-0.1875
operator,cool,0.35
fuck,different,0.0
campaign,worth,0.3
chat,emotional,0.0
gunplay,really good,0.7
game,graphic,0.0
cod,bad,-0.6999999999999998
ass,so horrid,-1.0
buffalo,poor,-0.4
password,terrible,-1.0
website,terrible,-1.0
gun,much bad,-0.6999999999999998
match,last,0.0
people,real,0.2
hardcore,lazy,-0.25
issue,many,0.5
punch,almost non,0.0
filter,hot,0.25
base,horrible,-1.0
reputation,bad,-0.6999999999999998
people,as bad,-0.6999999999999998
game,bad,-0.6999999999999998
cod,new,0.13636363636363635
game,very rudimentary,0.2
play,most,0.5
system,bad,-0.6999999999999998
game,few,-0.2
expectation,low,0.0
game,revolutionary,1.0
game,same,0.0
developer,cool,0.35
game,other,-0.125
game,worth,0.3
game,too bad,-0.6999999999999998
game,fairly clean,0.3666666666666667
people,useful,0.3
franchise,decent,0.16666666666666666
play,decent,0.16666666666666666
map,most unrealistic,0.0
thing,only,0.0
crash,cut,0.0
game,live,0.13636363636363635
game,overkill,-1.0
call,amazing,0.6000000000000001
game,many,0.5
game,cool,0.35
dad,well,1.0
crash,too few,-0.2
campaign,good,0.7
assist,disable,-1.0
campaign,huge,0.4000000000000001
point,low,0.0
slide,sad,-0.5
dollar,absolutely ridiculous,-0.3333333333333333
logic,same,0.0
system,perk,0.0
system,blah,-1.0
footstep,downright idiotic,-0.6666666666666666
suppressor,very boring,-1.0
game,more mindless,0.15
team,terribly balanced,1.0
people,worth,0.3
vanguard,sad,-0.5
problem,tweak,0.0
performance,playable,0.0
chair,many,0.5
player,single,-0.07142857142857142
series,bad,-0.6999999999999998
team,small,-0.25
number,queue,0.0
crash,bad,-0.6999999999999998
crash,constant,0.0
campaign,mw2,0.0
game,perfect,1.0
crashing,good,0.7
player,little,-0.1875
game,really good,0.7
experience,absolute,0.2
time,outrageous,-1.0
multiplayer,great,0.8
shade,pointless,-0.25
crash,bad,-0.6999999999999998
game,other,-0.125
game,extra,0.0
op,last,0.0
player,most hard,0.10416666666666666
call,modern,0.2
plot,well mediocre,0.25
crash,frequent,0.1
dollar,first,0.25
series,ugly,-0.7
year,fucking,-0.6
bug,retail,0.0
game,just boring,-1.0
zone,hard,-0.2916666666666667
game,old,0.1
industry,graphic,0.0
game,nigger,0.0
menu,impressed,1.0
game,boring,-1.0
game,nice,0.6
mode,confusing,-0.3
game,whole,0.2
scene,whole,0.2
console,very clear,0.13000000000000003
kill,instant,0.0
controller,current,0.0
animation,top,0.5
game,cool,0.35
game,just downright stressful,-1.0
ward,tactical,0.0
game,same,0.0
game,lower,0.0
game,single,-0.07142857142857142
fire,past,-0.25
core,lose,-1.0
campaign,bad,-0.6999999999999998
campaign,original,0.375
people,same,0.0
campaign,classic,0.16666666666666666
game,various,0.0
game,fun,0.3
game,terrible,-1.0
system,completely unfulfilling,0.1
game,terrible,-1.0
system,red,0.0
map,general,0.05000000000000002
crash,so many,0.5
ghost,sexy,0.5
camping,just overall,0.0
kid,old,0.1
people,multiple,0.0
game,fun,0.3
mission,previous,-0.16666666666666666
issue,very just short,0.1
gun,good,0.7
soldier,big,0.0
system,huge,0.4000000000000001
weapon,powerful,0.3
gun,reactionary,-1.0
people,good,0.7
accuracy,mid,0.0
logic,few,-0.2
war,scrapyard,0.0
classic,same,0.0
map,few,-0.2
enemy,really stupid,-0.7999999999999999
team,other,-0.125
speed,ably unforgiving,0.5
game,primarily base,-0.8
deus,recent,0.0
thinking,national,0.0
player,respectful,0.5
play,fun,0.3
feature,negative,-0.3
assist,really fun,0.3
target,fucking,-0.6
game,good,0.7
patrol,live,0.13636363636363635
game,fun,0.3
developer,subpar,0.0
gun,bad,-0.6999999999999998
ghost,sexy,0.5
tier,top,0.5
game,bad,-0.6999999999999998
guy,same,0.0
ghost,original,0.375
feeling,top,0.5
game,unable,-0.5
multiplayer,completely unbalanced,0.1
